,Item,Gender,common,percent
1,armchair,M,fauteuil,0.819277108433735
2,balloon,M,ballon,1
3,bed,M,lit,1
4,belt,F,ceinture,0.987951807228916
5,bike,M,vélo,0.891566265060241
6,billiardball,F,boule,0.831325301204819
7,book,M,livre,0.867469879518072
8,bucket,M,seau,0.963855421686747
9,butterfly,M,papillon,0.939759036144578
10,calculator,F,calculatrice,0.855421686746988
11,candle,F,bougie,0.903614457831325
12,cap,F,casquette,0.843373493975904
13,chair,F,chaise,0.975903614457831
14,clock,F,réveil,0.783132530120482
15,coathanger,M,cintre,0.867469879518072
16,comb,M,peigne,0.951807228915663
17,crown,F,couronne,1
18,cushion,M,coussin,0.759036144578313
19,door,F,porte,0.987951807228916
20,dress,F,robe,0.951807228915663
21,flower,F,fleur,0.987951807228916
22,frame,M,cadre,0.843373493975904
23,fryingpan,F,poêle,0.927710843373494
24,guitar,F,guitare,0.903614457831325
25,iron,M,fer à repasser,0.819277108433735
26,key,F,clé,0.951807228915663
27,lamp,F,lampe,1
28,magnifyingglass,F,loupe,0.963855421686747
29,mask,M,masque,0.987951807228916
30,mouse,F,souris,0.951807228915663
31,mug,F,tasse,0.891566265060241
32,napkin,F,serviette,0.710843373493976
33,ornament,F,boule,0.819277108433735
34,pencil,M,crayon,1
35,phone,M,téléphone,1
36,present,M,cadeau,0.975903614457831
37,ring,F,bague,0.807228915662651
38,rug,M,tapis,0.867469879518072
39,ruler,F,règle,0.91566265060241
40,scarf,F,écharpe,0.831325301204819
41,shirt,M,t-shirt,0.855421686746988
42,stapler,F,agrafeuse,0.891566265060241
43,switch,M,interrupteur,0.72289156626506
44,wallet,M,porte-feuille,0.734939759036145
45,airplane,M,avion,1
46,bandaid,M,pansement,0.746987951807229
47,basket,M,panier,0.903614457831325
48,bench,M,banc,1
49,binoculars,FPl,jumelles,0.891566265060241
50,bonbon,M,bonbon,0.951807228915663
51,bowl,M,bol,0.939759036144578
52,cake,M,gâteau,1
53,calendar,M,calendrier,0.975903614457831
54,die,M,dé,0.987951807228916
55,drum,M,tambour,0.759036144578313
56,fish,M,poisson,0.987951807228916
57,fork,F,fourchette,0.963855421686747
58,glove,M,gant,0.987951807228916
59,hammer,M,marteau,0.975903614457831
60,helicopter,M,hélicoptère,0.783132530120482
61,knife,M,couteau,1
62,ladle,F,louche,0.891566265060241
63,lipstick,M,rouge à lèvres,0.927710843373494
64,lock,M,cadenas,0.91566265060241
65,luggage,F,valise,0.975903614457831
66,microscope,M,microscope,0.939759036144578
67,necklace,M,collier,0.927710843373494
68,piano,M,piano,0.927710843373494
69,razor,M,rasoir,0.903614457831325
70,remote,F,télécommande,0.879518072289157
71,robot,M,robot,0.91566265060241
72,screwdriver,M,tournevis,0.939759036144578
73,shell,M,coquillage,0.795180722891566
74,shield,M,bouclier,0.843373493975904
75,shovel,F,pelle,0.951807228915663
76,sock,F,chaussette,0.91566265060241
77,spoon,F,cuillère,0.831325301204819
78,tent,F,tente,0.963855421686747
79,tie,F,cravate,0.987951807228916
80,truck,M,camion,0.987951807228916
81,umbrella,M,parapluie,0.987951807228916
82,vase,M,vase,0.843373493975904
83,whistle,M,sifflet,0.927710843373494