gameId	language	stage	condition	imageType	listenerSelection	roundNumber	directorAllMessages	directorFirstMessage	directorSecondMessage	guesserAllMessages	nameClickedObj	ItemID	distractorOne	distractorTwo	distractorThree	distractorFour	distractorFive	correct	TakeFirst	words	sep	words2	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned
nXejqxLkiFbAPDZXp	French	selection	color_diff_same_f	NA	NONE	1		NA	NA		NONE_NONE	ladle_tent	big_orange_tent	small_purple_ladle	big_purple_tent	big_orange_ladle	big_orange_ladle	0	TRUE				FALSE	FALSE	FALSE	FALSE	FALSE
nXejqxLkiFbAPDZXp	French	feedback	color_basic_filler_1_f	NA	1	2	bonjour__la petite boule de noel blanche__la plus petite des deux	bonjour	la petite boule de noel blanche	re desolée	small_white_ornament	cap_ornament	big_white_ornament	big_blue_cap	small_blue_ornament	NA	NA	1	FALSE			"c(""A"", ""S"", ""N"", ""N"", """", ""C"")"	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_same_diff_f	NA	1	3	la plus petite en jaune__pas de soucis!__la regle	la plus petite en jaune	pas de soucis!	y'avait pas de notif sonore que ça a commencé c'est dommage__la règle ou la porte ?	small_yellow_ruler	door_ruler	small_white_ruler	big_yellow_door	big_white_ruler	big_white_ruler	big_white_ruler	1	TRUE	"c(""A"", """", ""S"", """", ""C"")"		"c("""", ""N"", """")"	TRUE	TRUE	FALSE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_diff_same_m	NA	1	4	le sceau rouge	le sceau rouge	"NA"	oh l'interrupteur en rouge il est grave stylé	big_red_bucket	switch_bucket	big_yellow_bucket	small_red_switch	small_yellow_bucket	big_yellow_switch	big_yellow_switch	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_basic_filler_3_m	NA	1	5	le plus petit peigne jaune	le plus petit peigne jaune	"NA"		small_yellow_comb	balloon_comb	big_red_comb	big_yellow_comb	small_red_balloon	NA	NA	1	TRUE	"c(""A"", """", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_same_diff_f	NA	1	6	la plus petit couronne bleu__petite*	la plus petit couronne bleu	petite*		small_blue_crown	flower_crown	big_blue_crown	small_white_flower	big_white_crown	big_white_crown	big_white_crown	1	TRUE	"c(""A"", """", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_basic_target_m	NA	1	7	vas y tente!	vas y tente!	"NA"	je parie sur le petit velo rouge	small_red_bike	cushion_bike	big_red_bike	small_yellow_cushion	big_yellow_bike	NA	NA	1	TRUE	"c("""", """", ""N"")"			FALSE	FALSE	TRUE	FALSE	FALSE
nXejqxLkiFbAPDZXp	French	feedback	color_diff_same_m	NA	1	8	quel couleur?__le plus gros vase violet oui!	quel couleur?	le plus gros vase violet oui!	incroyable__mmmh__j'dirais violet car y'en a plus	big_purple_vase	lipstick_vase	small_purple_vase	big_orange_lipstick	small_orange_vase	small_purple_lipstick	small_purple_lipstick	1	FALSE	"c("""", """")"		"c(""A"", """", ""S"", ""N"", ""C"", """")"	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_basic_filler_2_m	NA	1	9	ah cette fois c'est le seul et l'unique__yep	ah cette fois c'est le seul et l'unique	yep	plus petit rasoir vert ? :')__calendrier ?	small_purple_calendar	razor_calendar	small_green_razor	big_green_razor	big_purple_razor	NA	NA	1	TRUE	"c("""", """", """", """", """", ""A"", """", """", ""A"", """")"			FALSE	FALSE	FALSE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_basic_filler_1_f	NA	1	10	hahah toi aussi!__la plus grosse bague en blanc	hahah toi aussi!	la plus grosse bague en blanc	azy t'es super drole c'est trop bien	big_white_ring	magnifyingglass_ring	big_yellow_ring	small_yellow_magnifyingglass	small_white_ring	NA	NA	1	FALSE	"c("""", """", """")"		"c(""A"", """", ""S"", ""N"", """", ""C"")"	TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_basic_filler_2_m	NA	1	11	encore une fois, le seul__et l'unique	encore une fois, le seul	et l'unique	camioooooon	big_orange_truck	hammer_truck	small_orange_hammer	small_purple_hammer	big_purple_hammer	NA	NA	1	TRUE	"c("""", """", """", ""A"", """")"		"c("""", ""A"", """")"	FALSE	FALSE	FALSE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_diff_diff_m	NA	1	12	le bonbon a la pomme je dirais	le bonbon a la pomme je dirais	"NA"	autant le gateau en orange il fait vrai autant les bonbons absolument pas	big_green_bonbon	cake_bonbon	big_orange_bonbon	small_green_cake	small_orange_bonbon	small_orange_cake	small_orange_cake	1	TRUE	"c(""A"", ""N"", """", ""A"", """", """", """")"			FALSE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_basic_filler_2_f	NA	1	13	l'agraffeuse	l'agraffeuse	"NA"		big_yellow_stapler	dress_stapler	small_yellow_dress	small_red_dress	big_red_dress	NA	NA	1	TRUE	"c(""A"", ""N"")"			FALSE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_same_same_f	NA	1	14	le reveil bleu	le reveil bleu	"NA"	tiens il est 8 heures 15	small_blue_clock	candle_clock	small_yellow_clock	big_blue_candle	big_yellow_clock	small_yellow_clock	small_yellow_clock	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_diff_diff_f	NA	1	15	le mouchoir blanc	le mouchoir blanc	"NA"		small_white_napkin	billiardball_napkin	small_yellow_napkin	big_white_billiardball	big_yellow_napkin	big_yellow_billiardball	big_yellow_billiardball	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_same_same_m	NA	1	16	ouf!__le vieux telephone blanc!	ouf!	le vieux telephone blanc!	j'ai failli me tromper ?	big_white_phone	mask_phone	big_yellow_phone	small_white_mask	small_yellow_phone	big_yellow_phone	big_yellow_phone	1	FALSE			"c(""A"", """", ""N"", ""C"")"	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_basic_target_f	NA	1	17	non c'est plus qu'on en voit plus des telehpones comme ca!__la petite cuiellere orange	non c'est plus qu'on en voit plus des telehpones comme ca!	la petite cuiellere orange	krkrkr pas faux	small_orange_spoon	fork_spoon	big_orange_spoon	small_black_fork	big_black_spoon	NA	NA	1	FALSE	"c("""", """", """", """", """", """", """", """", """", """", """", """", """")"		"c(""A"", ""S"", """", ""C"")"	TRUE	TRUE	FALSE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_diff_diff_f	NA	1	18	plus petite calculette bleu	plus petite calculette bleu	"NA"	après en même temps autant c'est drole a utiliser autant c'est pas le plus simple	small_blue_calculator	lamp_calculator	big_blue_calculator	small_red_lamp	big_red_calculator	big_red_lamp	big_red_lamp	1	TRUE	"c("""", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_same_diff_m	NA	1	19	le plus grand lit bleu	le plus grand lit bleu	"NA"		big_blue_bed	frame_bed	big_yellow_bed	small_blue_frame	small_yellow_bed	small_yellow_bed	small_yellow_bed	1	TRUE	"c(""A"", """", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_basic_target_m	NA	1	20	oui ca m étonne que ca change pas__l'avion violet	oui ca m étonne que ca change pas	l'avion violet	ça m'étonne que j'sois pas passée chef tiens	small_purple_airplane	screwdriver_airplane	small_orange_airplane	big_purple_screwdriver	big_orange_airplane	NA	NA	1	FALSE	"c("""", """", """", """", """", """", """", """")"		"c(""A"", ""N"", ""C"")"	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_same_same_f	NA	1	21	la petite chausette verte	la petite chausette verte	"NA"	oh la chaussette__elle a été utilisée elle	small_green_sock	shovel_sock	big_green_sock	small_orange_shovel	big_orange_sock	big_green_sock	big_green_sock	1	TRUE	"c(""A"", ""S"", """", ""C"")"			TRUE	TRUE	FALSE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_diff_same_f	NA	1	22	telecommande orange	telecommande orange	"NA"		small_orange_remote	tie_remote	small_green_remote	big_orange_tie	big_green_remote	small_green_tie	small_green_tie	1	TRUE	"c(""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_basic_filler_3_f	NA	1	23	petite tasse rouge	petite tasse rouge	"NA"	la tasse elle a subi 25 modifications j'crois__elle est tellement pixelisée	small_red_mug	chair_mug	big_white_mug	big_red_mug	small_white_chair	NA	NA	1	TRUE	"c(""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	FALSE
nXejqxLkiFbAPDZXp	French	feedback	color_basic_filler_2_f	NA	1	24	trop de zoom sur la tasse!__la poele jaune	trop de zoom sur la tasse!	la poele jaune	exact !	small_yellow_pan	scarf_pan	small_blue_scarf	big_blue_scarf	big_yellow_scarf	NA	NA	1	FALSE	"c("""", ""N"", """", """", ""A"", ""N"")"		"c(""A"", ""N"", ""C"")"	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_same_diff_m	NA	1	25	le plus grand tapis bleu	le plus grand tapis bleu	"NA"		big_blue_rug	present_rug	small_blue_rug	big_white_present	small_white_rug	small_white_rug	small_white_rug	1	TRUE	"c(""A"", """", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_basic_target_f	NA	1	26	la souris jaune	la souris jaune	"NA"		small_yellow_mouse	belt_mouse	small_red_mouse	big_yellow_belt	big_red_mouse	NA	NA	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_same_same_m	NA	1	27	le plus grand cintre bleu	le plus grand cintre bleu	"NA"		big_blue_coathanger	pencil_coathanger	small_blue_coathanger	big_yellow_pencil	small_yellow_coathanger	small_blue_coathanger	small_blue_coathanger	1	TRUE	"c(""A"", """", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	size_basic_filler_1_m	NA	1	28	le plus grand piano orange	le plus grand piano orange	"NA"	c'est pas du marron ?	big_orange_piano	die_piano	big_purple_piano	small_purple_die	small_orange_piano	NA	NA	1	TRUE	"c(""A"", """", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_basic_filler_3_f	NA	1	29	hahaha je me dis ils aiment le violet et l'orange.. mais oui marron aussi__la guitare rouge	hahaha je me dis ils aiment le violet et l'orange.. mais oui marron aussi	la guitare rouge	pas faux pas faux x)	small_red_guitar	key_guitar	big_yellow_guitar	small_yellow_guitar	big_red_key	NA	NA	1	FALSE	"c("""", """", """", """", """", """", ""A"", ""C"", """", ""A"", ""C"", """", """", ""C"", """")"		"c(""A"", ""N"", ""C"")"	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_basic_filler_3_m	NA	1	30	"le couteau ""marron"""	"le couteau ""marron"""	"NA"		small_orange_knife	lock_knife	big_purple_knife	small_purple_knife	big_orange_lock	NA	NA	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_basic_filler_1_m	NA	1	31	comme le piano oui!__le microscope orange__petti__petit**	comme le piano oui!	le microscope orange	il est rouillé a ce niveau j'pense__exact !	small_orange_microscope	shell_microscope	big_orange_microscope	big_purple_shell	small_purple_microscope	NA	NA	1	FALSE	"c("""", ""A"", ""N"", """")"		"c(""A"", ""N"", ""C"")"	TRUE	FALSE	TRUE	FALSE	TRUE
nXejqxLkiFbAPDZXp	French	feedback	color_diff_diff_m	NA	1	32	le grand tambour vert__merci c'etait fun!__:d	le grand tambour vert	merci c'etait fun!	et bah__vu que c'est le dernier tour j'en profite__c'était court mais grave drôle :')__merci a toi aussi !	big_green_drum	robot_drum	small_green_drum	big_purple_robot	small_purple_drum	small_purple_robot	small_purple_robot	1	TRUE	"c(""A"", ""S"", ""N"", ""C"")"		"c("""", """", """", """")"	TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_diff_diff_m	NA	1	1	c'est le tournevis__vert__grande image	c'est le tournevis	vert	de quelle couleur?__petit ou grand?	big_green_screwdriver	hammer_screwdriver	small_green_screwdriver	big_purple_hammer	small_purple_screwdriver	small_purple_hammer	small_purple_hammer	1	TRUE	"c("""", """", ""A"", ""N"")"		C	FALSE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_basic_filler_3_f	NA	1	2	c'est la chaise rouge	c'est la chaise rouge	"NA"		small_red_chair	billiardball_chair	big_blue_chair	small_blue_chair	big_red_billiardball	NA	NA	1	TRUE	"c("""", """", ""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_basic_target_f	NA	1	3	c'est la petite règle rouge	c'est la petite règle rouge	"NA"		small_red_ruler	key_ruler	big_red_ruler	small_yellow_key	big_yellow_ruler	NA	NA	1	TRUE	"c("""", """", ""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_diff_same_m	NA	1	4	c'est le camion violet, grande image	c'est le camion violet, grande image	"NA"		big_purple_truck	cake_truck	small_purple_truck	big_black_cake	small_black_truck	small_purple_cake	small_purple_cake	1	TRUE	"c("""", """", ""A"", ""N"", ""C"", ""S"", """")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_basic_target_m	NA	1	5	c'est le cadre petit cadre blanc	c'est le cadre petit cadre blanc	"NA"		small_white_frame	bucket_frame	big_white_frame	small_yellow_bucket	big_yellow_frame	NA	NA	1	TRUE	"c("""", """", ""A"", ""N"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_diff_diff_f	NA	1	6	c'est l'écharpe bleu	c'est l'écharpe bleu	"NA"		small_blue_scarf	mug_scarf	small_red_scarf	big_blue_mug	big_red_scarf	big_red_mug	big_red_mug	1	TRUE	"c("""", """", ""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_basic_filler_2_f	NA	1	7	c'est la lampe	c'est la lampe	"NA"		small_white_lamp	pan_lamp	small_red_pan	big_red_pan	big_white_pan	NA	NA	1	TRUE	"c("""", """", ""A"", ""N"")"			FALSE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_basic_filler_1_f	NA	1	8	c'est la petite souris jaune	c'est la petite souris jaune	"NA"		small_yellow_mouse	candle_mouse	big_yellow_mouse	big_white_candle	small_white_mouse	NA	NA	1	TRUE	"c("""", """", ""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_basic_target_f	NA	1	9	c'est la serviette jaune	c'est la serviette jaune	"NA"		small_yellow_napkin	magnifyingglass_napkin	small_blue_napkin	big_yellow_magnifyingglass	big_blue_napkin	NA	NA	1	TRUE	"c("""", """", ""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_basic_filler_1_m	NA	1	10	c'est le petit poisson orange	c'est le petit poisson orange	"NA"		small_orange_fish	vase_fish	big_orange_fish	big_black_vase	small_black_fish	NA	NA	1	TRUE	"c("""", """", ""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_basic_filler_1_f	NA	1	11	la grande fourchette noire	la grande fourchette noire	"NA"		big_black_fork	spoon_fork	big_orange_fork	small_orange_spoon	small_black_fork	NA	NA	1	TRUE	"c(""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_diff_same_f	NA	1	12	la petite porte jaune	la petite porte jaune	"NA"		small_yellow_door	belt_door	big_yellow_door	small_white_belt	big_white_door	big_yellow_belt	big_yellow_belt	1	TRUE	"c(""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_basic_filler_2_m	NA	1	13	le coussin bleu	le coussin bleu	"NA"		small_blue_cushion	bed_cushion	small_red_bed	big_red_bed	big_blue_bed	NA	NA	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_same_same_f	NA	1	14	la petite boule rouge	la petite boule rouge	"NA"		small_red_ornament	stapler_ornament	big_red_ornament	small_white_stapler	big_white_ornament	big_red_ornament	big_red_ornament	1	TRUE	"c(""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_same_same_f	NA	1	15	la calculatrice rouge	la calculatrice rouge	"NA"		small_red_calculator	clock_calculator	small_yellow_calculator	big_red_clock	big_yellow_calculator	small_yellow_calculator	small_yellow_calculator	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_basic_filler_1_m	NA	1	16	le grand couteau orange	le grand couteau orange	"NA"		big_orange_knife	robot_knife	big_purple_knife	small_purple_robot	small_orange_knife	NA	NA	1	TRUE	"c(""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_same_same_m	NA	1	17	le plus grand des piano noir	le plus grand des piano noir	"NA"		big_black_piano	drum_piano	small_black_piano	big_orange_drum	small_orange_piano	small_black_piano	small_black_piano	1	TRUE	"c(""A"", """", ""S"", """", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_basic_filler_3_m	NA	1	18	le petit cadeau bleu	le petit cadeau bleu	"NA"		small_blue_present	pencil_present	big_yellow_present	big_blue_present	small_yellow_pencil	NA	NA	1	TRUE	"c(""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_same_same_m	NA	1	19	le cadenas vert	le cadenas vert	"NA"		big_green_lock	die_lock	big_orange_lock	small_green_die	small_orange_lock	big_orange_lock	big_orange_lock	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_diff_same_f	NA	1	20	la couronne blanche	la couronne blanche	"NA"		small_white_crown	ring_crown	small_blue_crown	big_white_ring	big_blue_crown	small_blue_ring	small_blue_ring	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_same_diff_m	NA	1	21	le calendrier noir	le calendrier noir	"NA"		big_black_calendar	shell_calendar	big_orange_calendar	small_black_shell	small_orange_calendar	small_orange_calendar	small_orange_calendar	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_basic_filler_3_m	NA	1	22	le bonbon violet	le bonbon violet	"NA"		small_purple_bonbon	microscope_bonbon	big_black_bonbon	small_black_bonbon	big_purple_microscope	NA	NA	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_basic_filler_2_m	NA	1	23	c'est le rasoir	c'est le rasoir	"NA"		big_black_razor	airplane_razor	small_black_airplane	small_orange_airplane	big_orange_airplane	NA	NA	1	TRUE	"c("""", """", ""A"", ""N"")"			FALSE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_same_diff_f	NA	1	24	la télécommande verte	la télécommande verte	"NA"		small_green_remote	shovel_remote	small_orange_remote	big_green_shovel	big_orange_remote	big_orange_remote	big_orange_remote	1	TRUE	"c(""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_same_diff_m	NA	1	25	le grand papillon bleu	le grand papillon bleu	"NA"		big_blue_butterfly	balloon_butterfly	small_blue_butterfly	big_white_balloon	small_white_butterfly	small_white_butterfly	small_white_butterfly	1	TRUE	"c(""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_basic_filler_2_f	NA	1	26	c'est la cravate	c'est la cravate	"NA"		big_purple_tie	tent_tie	small_purple_tent	small_green_tent	big_green_tent	NA	NA	1	TRUE	"c("""", """", ""A"", ""N"")"			FALSE	FALSE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	color_same_diff_f	NA	1	27	c'est la petite casquette bleu	c'est la petite casquette bleu	"NA"		small_blue_cap	dress_cap	big_blue_cap	small_white_dress	big_white_cap	big_white_cap	big_white_cap	1	TRUE	"c("""", """", ""A"", ""S"", ""N"", ""C"")"			TRUE	TRUE	TRUE	FALSE	TRUE
HToNiSRqpqwtN7h9n	French	feedback	size_diff_diff_m	NA	1	28	c'est le sifflet vert	c'est le sifflet vert	"NA"		big_green_whistle	lipstick_whistle	big_purple_whistle	small_green_lipstick	small_purple_whistle	small_purple_lipstick	small_purple_lipstick	1	TRUE	"c("""", """", ""A"", ""N"", ""C"")"			TRUE	FALSE	TRUE	FALSE	TRUE
